stock_code,weight
600208,0.0392156862745098
300390,0.038431372549019606
688166,0.03764705882352941
000703,0.03686274509803922
688702,0.03607843137254902
002353,0.03529411764705882
002080,0.034509803921568626
688002,0.03372549019607843
688295,0.03294117647058824
002432,0.03215686274509804
002281,0.03137254901960784
300432,0.03058823529411765
300857,0.02980392156862745
000967,0.029019607843137254
000062,0.02823529411764706
301308,0.027450980392156862
600487,0.02666666666666667
002273,0.02588235294117647
605589,0.025098039215686273
688220,0.02431372549019608
688037,0.023529411764705882
300567,0.022745098039215685
001389,0.02196078431372549
688387,0.021176470588235293
300751,0.0203921568627451
300058,0.0196078431372549
002203,0.018823529411764704
601958,0.01803921568627451
301358,0.017254901960784313
603699,0.01647058823529412
600673,0.01568627450980392
300054,0.014901960784313726
000830,0.01411764705882353
603806,0.013333333333333334
002831,0.012549019607843137
601212,0.011764705882352941
002155,0.010980392156862745
600118,0.01019607843137255
300919,0.009411764705882352
688172,0.008627450980392156
000657,0.00784313725490196
600879,0.007058823529411765
000155,0.006274509803921568
300037,0.005490196078431373
603156,0.004705882352941176
000933,0.00392156862745098
688676,0.003137254901960784
000960,0.002352941176470588
688629,0.001568627450980392
600166,0.000784313725490196
