stock_code,weight
600208,0.0392156862745098
300390,0.038431372549019606
688166,0.03764705882352941
688702,0.03686274509803922
000703,0.03607843137254902
002281,0.03529411764705882
002080,0.034509803921568626
002353,0.03372549019607843
300857,0.03294117647058824
301308,0.03215686274509804
688002,0.03137254901960784
000062,0.03058823529411765
002432,0.02980392156862745
688037,0.029019607843137254
300058,0.02823529411764706
001389,0.027450980392156862
600118,0.02666666666666667
300567,0.02588235294117647
688295,0.025098039215686273
605589,0.02431372549019608
002273,0.023529411764705882
603806,0.022745098039215685
600673,0.02196078431372549
601958,0.021176470588235293
600487,0.0203921568627451
000830,0.0196078431372549
002155,0.018823529411764704
601212,0.01803921568627451
600879,0.017254901960784313
300919,0.01647058823529412
000933,0.01568627450980392
002203,0.014901960784313726
601106,0.01411764705882353
688387,0.013333333333333334
603699,0.012549019607843137
600295,0.011764705882352941
002851,0.010980392156862745
688318,0.01019607843137255
688777,0.009411764705882352
300679,0.008627450980392156
000039,0.00784313725490196
600392,0.007058823529411765
600299,0.006274509803921568
000960,0.005490196078431373
000426,0.004705882352941176
688347,0.00392156862745098
002831,0.003137254901960784
605358,0.002352941176470588
601717,0.001568627450980392
688608,0.000784313725490196
